drug,file,lab,comment
tamoxifen,PMC003XXXXXX.xml\PMC0032XXXXX\PMC3232249.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0032XXXXX\PMC3235041.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0032XXXXX\PMC3235950.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0032XXXXX\PMC3237902.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0032XXXXX\PMC3242698.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0032XXXXX\PMC3242887.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0032XXXXX\PMC3243930.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0032XXXXX\PMC3247654.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0032XXXXX\PMC3249240.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0032XXXXX\PMC3253372.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0032XXXXX\PMC3253817.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0032XXXXX\PMC3253821.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0032XXXXX\PMC3261330.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0032XXXXX\PMC3263348.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0032XXXXX\PMC3264781.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0032XXXXX\PMC3265324.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0032XXXXX\PMC3268911.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0032XXXXX\PMC3276743.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0032XXXXX\PMC3279154.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0032XXXXX\PMC3281508.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0032XXXXX\PMC3295576.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0033XXXXX\PMC3306248.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0033XXXXX\PMC3315355.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0033XXXXX\PMC3319138.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0033XXXXX\PMC3324940.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0033XXXXX\PMC3329570.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0033XXXXX\PMC3329572.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0033XXXXX\PMC3335925.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0033XXXXX\PMC3336370.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0033XXXXX\PMC3341497.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0033XXXXX\PMC3342929.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0033XXXXX\PMC3351041.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0033XXXXX\PMC3353324.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0033XXXXX\PMC3355198.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0033XXXXX\PMC3361755.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0033XXXXX\PMC3369003.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0033XXXXX\PMC3375495.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0033XXXXX\PMC3376444.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0033XXXXX\PMC3380079.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0033XXXXX\PMC3381502.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0033XXXXX\PMC3381741.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0033XXXXX\PMC3385411.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0033XXXXX\PMC3387673.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0033XXXXX\PMC3392171.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0033XXXXX\PMC3398624.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0033XXXXX\PMC3399946.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0034XXXXX\PMC3401555.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0034XXXXX\PMC3404218.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0034XXXXX\PMC3404603.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0034XXXXX\PMC3408244.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0034XXXXX\PMC3408636.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0034XXXXX\PMC3408960.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0034XXXXX\PMC3415693.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0034XXXXX\PMC3420066.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0034XXXXX\PMC3421458.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0034XXXXX\PMC3422669.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0034XXXXX\PMC3428498.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0034XXXXX\PMC3433578.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0034XXXXX\PMC3439134.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0034XXXXX\PMC3443391.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0034XXXXX\PMC3444142.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0034XXXXX\PMC3449001.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0034XXXXX\PMC3460375.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0034XXXXX\PMC3461121.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0034XXXXX\PMC3463723.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0034XXXXX\PMC3464476.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0034XXXXX\PMC3466088.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0034XXXXX\PMC3467003.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0034XXXXX\PMC3470854.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0034XXXXX\PMC3470874.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0034XXXXX\PMC3477512.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0034XXXXX\PMC3478436.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0034XXXXX\PMC3483870.xml,1,one of these also displayed minimal cre activity in the absence of tamoxifen \( see fig 1 \) and was bred to establish a hoxb6creert line the characterization of which is presented in this report \( mouse genome informatics designation tg \( hoxb6 cre esr1 \) 1smac \)
tamoxifen,PMC003XXXXXX.xml\PMC0034XXXXX\PMC3495995.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0034XXXXX\PMC3496800.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0035XXXXX\PMC3501009.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0035XXXXX\PMC3503449.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0035XXXXX\PMC3503452.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0035XXXXX\PMC3505272.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0035XXXXX\PMC3511772.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0035XXXXX\PMC3516907.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0035XXXXX\PMC3517800.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0035XXXXX\PMC3518840.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0035XXXXX\PMC3521565.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0035XXXXX\PMC3524362.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0035XXXXX\PMC3525726.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0035XXXXX\PMC3529414.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0035XXXXX\PMC3529777.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0035XXXXX\PMC3529782.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0035XXXXX\PMC3530140.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0035XXXXX\PMC3530628.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0035XXXXX\PMC3532881.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0035XXXXX\PMC3535561.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0035XXXXX\PMC3539798.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0035XXXXX\PMC3540406.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0035XXXXX\PMC3543987.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0035XXXXX\PMC3548984.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0035XXXXX\PMC3553239.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0035XXXXX\PMC3557530.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0035XXXXX\PMC3565011.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0035XXXXX\PMC3567488.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0035XXXXX\PMC3588857.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0035XXXXX\PMC3588884.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0035XXXXX\PMC3595161.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0036XXXXX\PMC3604153.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0036XXXXX\PMC3607286.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0036XXXXX\PMC3612551.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0036XXXXX\PMC3616612.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0036XXXXX\PMC3623943.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0036XXXXX\PMC3623974.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0036XXXXX\PMC3626284.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0036XXXXX\PMC3630282.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0036XXXXX\PMC3631304.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0036XXXXX\PMC3632256.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0036XXXXX\PMC3643989.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0036XXXXX\PMC3644524.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0036XXXXX\PMC3650477.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0036XXXXX\PMC3651736.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0036XXXXX\PMC3653186.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0036XXXXX\PMC3656486.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0036XXXXX\PMC3667629.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0036XXXXX\PMC3674415.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0036XXXXX\PMC3675220.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0036XXXXX\PMC3679295.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0036XXXXX\PMC3681521.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0036XXXXX\PMC3681533.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0036XXXXX\PMC3685319.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0036XXXXX\PMC3686911.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0036XXXXX\PMC3690192.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0036XXXXX\PMC3695624.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0037XXXXX\PMC3701722.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0037XXXXX\PMC3708546.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0037XXXXX\PMC3709471.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0037XXXXX\PMC3710533.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0037XXXXX\PMC3711713.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0037XXXXX\PMC3711775.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0037XXXXX\PMC3715376.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0037XXXXX\PMC3715566.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0037XXXXX\PMC3717298.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0037XXXXX\PMC3717606.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0037XXXXX\PMC3719875.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0037XXXXX\PMC3720729.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0037XXXXX\PMC3729748.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0037XXXXX\PMC3730822.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0037XXXXX\PMC3732536.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0037XXXXX\PMC3736824.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0037XXXXX\PMC3740527.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0037XXXXX\PMC3741991.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0037XXXXX\PMC3742062.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0037XXXXX\PMC3743663.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0037XXXXX\PMC3744229.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0037XXXXX\PMC3744245.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0037XXXXX\PMC3752917.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0037XXXXX\PMC3756313.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0037XXXXX\PMC3756546.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0037XXXXX\PMC3759292.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0037XXXXX\PMC3760725.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0037XXXXX\PMC3760790.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0037XXXXX\PMC3760792.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0037XXXXX\PMC3764990.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0037XXXXX\PMC3767174.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0037XXXXX\PMC3767919.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0037XXXXX\PMC3769162.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0037XXXXX\PMC3771085.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0037XXXXX\PMC3772954.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0037XXXXX\PMC3775343.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0037XXXXX\PMC3777393.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0037XXXXX\PMC3782391.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0037XXXXX\PMC3783949.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0037XXXXX\PMC3784355.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0037XXXXX\PMC3785140.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0038XXXXX\PMC3800271.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0038XXXXX\PMC3812312.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0038XXXXX\PMC3813317.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0038XXXXX\PMC3815441.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0038XXXXX\PMC3816977.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0038XXXXX\PMC3818141.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0038XXXXX\PMC3818438.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0038XXXXX\PMC3837349.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0038XXXXX\PMC3837417.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0038XXXXX\PMC3837449.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0038XXXXX\PMC3846524.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0038XXXXX\PMC3848328.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0038XXXXX\PMC3851293.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0038XXXXX\PMC3854959.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0038XXXXX\PMC3855007.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0038XXXXX\PMC3855346.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0038XXXXX\PMC3860360.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0038XXXXX\PMC3860589.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0038XXXXX\PMC3869203.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0038XXXXX\PMC3882010.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0038XXXXX\PMC3883868.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0038XXXXX\PMC3890247.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0039XXXXX\PMC3901991.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0039XXXXX\PMC3903404.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0039XXXXX\PMC3907065.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0039XXXXX\PMC3909877.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0039XXXXX\PMC3909953.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0039XXXXX\PMC3911778.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0039XXXXX\PMC3913479.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0039XXXXX\PMC3915783.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0039XXXXX\PMC3918745.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0039XXXXX\PMC3920654.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0039XXXXX\PMC3921070.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0039XXXXX\PMC3921668.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0039XXXXX\PMC3922061.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0039XXXXX\PMC3924583.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0039XXXXX\PMC3924782.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0039XXXXX\PMC3926210.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0039XXXXX\PMC3926659.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0039XXXXX\PMC3926663.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0039XXXXX\PMC3932557.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0039XXXXX\PMC3935460.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0039XXXXX\PMC3944086.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0039XXXXX\PMC3946733.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0039XXXXX\PMC3949508.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0039XXXXX\PMC3950940.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0039XXXXX\PMC3951300.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0039XXXXX\PMC3951921.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0039XXXXX\PMC3952061.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0039XXXXX\PMC3955277.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0039XXXXX\PMC3955299.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0039XXXXX\PMC3967590.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0039XXXXX\PMC3979308.xml,0,5 results in omphalocelemutation of fgfr1 and fgfr2 was induced using a tamoxifen inducible rosa esr cre system through the method of intragastric injection 21
tamoxifen,PMC003XXXXXX.xml\PMC0039XXXXX\PMC3982414.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0039XXXXX\PMC3982877.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0039XXXXX\PMC3984939.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0039XXXXX\PMC3989112.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0039XXXXX\PMC3989441.xml,0,none
tamoxifen,PMC003XXXXXX.xml\PMC0039XXXXX\PMC3999971.xml,0,none
doxorubicin,PMC003XXXXXX.xml\PMC0030XXXXX\PMC3001231.xml,0,none
doxorubicin,PMC003XXXXXX.xml\PMC0030XXXXX\PMC3005850.xml,0,none
